11,11
30,29
48,44
19,18
19,17
13,13
5,6
10,10
3,3
29,27
4,5
1,1
11,12
18,16
18,16
20,19
10,10
2,2
22,21
7,7
7,8
4,4
9,9
10,9
4,4
5,5
8,7
11,10
8,8
5,5
5,6
5,5
1,1
1,2
5,5
4,4
1,1
1,2
1,0
1,1
1,2
1,0
1,1
1,2
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
11,11
26,24
48,44
19,18
19,17
13,13
5,6
10,10
3,3
29,27
4,5
1,1
8,8
18,16
19,18
20,19
10,10
2,2
22,21
4,3
7,8
4,4
9,9
11,9
4,4
6,7
3,3
8,7
11,10
8,8
5,5
5,6
5,5
1,1
1,2
6,6
4,4
3,4
1,1
4,5
1,2
1,0
1,2
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
11,11
26,24
52,48
19,18
19,17
13,13
5,6
10,10
3,3
29,27
4,5
1,1
8,8
18,16
6,7
20,19
10,10
2,2
13,12
7,7
7,8
13,11
4,4
9,9
9,9
11,9
6,7
3,4
8,7
11,10
8,8
5,5
5,6
5,5
1,1
1,2
6,6
4,4
1,1
4,5
1,2
1,0
1,2
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
11,11
26,24
48,44
22,21
19,16
13,13
5,6
10,10
29,27
4,5
1,1
8,8
18,16
7,7
20,19
10,10
2,2
22,21
7,7
7,8
12,11
4,4
9,9
11,9
4,3
6,7
3,4
8,7
11,10
8,8
5,5
5,6
5,5
1,1
1,2
6,6
4,4
1,1
4,5
1,2
1,0
1,2
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
11,11
26,24
48,44
22,21
17,16
13,13
10,11
10,10
29,27
4,5
1,1
8,8
18,16
19,18
20,19
10,10
2,2
22,21
7,7
7,8
4,4
9,9
11,9
12,12
6,7
5,5
8,7
11,10
5,6
5,5
1,1
1,2
6,6
4,4
1,1
4,5
1,2
1,0
1,2
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
